"Sample"	"Detector"	"Cq"
"362"	"CMV008"	"hsa-miR-544"	"27.033"
"363"	"CMV008"	"hsa-miR-548a"	"31.658"
"364"	"CMV008"	"hsa-miR-548c"	"30.766"
"365"	"CMV008"	"hsa-miR-551b"	"17.32"
"366"	"CMV008"	"hsa-miR-574-3p"	"28.776"
"367"	"CMV008"	"hsa-miR-590-5p"	"25.381"
"368"	"CMV008"	"hsa-miR-597"	"27.318"
"369"	"CMV008"	"hsa-miR-598"	"33.303"
"370"	"CMV008"	"hsa-miR-618"	"15.624"
"371"	"CMV008"	"hsa-miR-628-5p"	"16.139"
"372"	"CMV008"	"hsa-miR-651"	"27.848"
"373"	"CMV008"	"hsa-miR-652"	"20.469"
"374"	"CMV008"	"hsa-miR-660"	"31.563"
"375"	"CMV008"	"hsa-miR-708"	"27.488"
"376"	"CMV008"	"hsa-miR-885-5p"	"36.111"
"377"	"CMV008"	"hsa-miR-9"	NA
"378"	"CMV008"	"hsa-miR-92a"	"28.288"
"379"	"CMV008"	"hsa-miR-99a"	"28.73"
"380"	"CMV008"	"hsa-miR-99b"	"26.826"
"381"	"CMV008"	"mmu-miR-140"	"34.879"
"382"	"CMV008"	"mmu-miR-93"	"33.314"
"383"	"CMV008"	"RNU48"	"35.41"
"384"	"CMV008"	"U6_snRNA_rt1"	"27.847"
"385"	"CMV008"	"U6_snRNA_rt2"	"27.948"
"386"	"CMV008"	"U6_snRNA_rt3"	"28.125"
"387"	"CMV008"	"U6_snRNA_rt4"	"28.083"
"388"	"CST005"	"ath-miR159a"	NA
"389"	"CST005"	"hsa-let-7b"	"27.068"
"390"	"CST005"	"hsa-let-7c"	"28.093"
"391"	"CST005"	"hsa-miR-100"	"25.916"
"392"	"CST005"	"hsa-miR-106a"	"19.386"
"393"	"CST005"	"hsa-miR-106b"	"27.513"
"394"	"CST005"	"hsa-miR-125b"	"23.664"
"395"	"CST005"	"hsa-miR-126"	"31.22"
"396"	"CST005"	"hsa-miR-127"	"29.173"
"397"	"CST005"	"hsa-miR-130a"	"26.002"
"398"	"CST005"	"hsa-miR-130b"	"33.269"
"399"	"CST005"	"hsa-miR-133a"	"30.547"
"400"	"CST005"	"hsa-miR-138"	"32.889"
"401"	"CST005"	"hsa-miR-142-3p"	"32.218"
"402"	"CST005"	"hsa-miR-143"	"28.195"
"403"	"CST005"	"hsa-miR-145"	"34.181"
"404"	"CST005"	"hsa-miR-146a"	"29.647"
"405"	"CST005"	"hsa-miR-147"	"27.734"
"406"	"CST005"	"hsa-miR-148a"	"27.941"
"407"	"CST005"	"hsa-miR-150"	"27.503"
"408"	"CST005"	"hsa-miR-152"	"29.741"
"409"	"CST005"	"hsa-miR-155"	"15.329"
"410"	"CST005"	"hsa-miR-15a"	"27.927"
"411"	"CST005"	"hsa-miR-15b"	NA
"412"	"CST005"	"hsa-miR-16"	"29.753"
"413"	"CST005"	"hsa-miR-181a"	"30.66"
"414"	"CST005"	"hsa-miR-184"	"19.864"
"415"	"CST005"	"hsa-miR-186"	"28.627"
"416"	"CST005"	"hsa-miR-191"	"25.985"
"417"	"CST005"	"hsa-miR-192"	"28.948"
"418"	"CST005"	"hsa-miR-193a-5p"	"33.783"
"419"	"CST005"	"hsa-miR-193b"	"30.083"
"420"	"CST005"	"hsa-miR-194"	"21.512"
"421"	"CST005"	"hsa-miR-195"	"25.996"
"422"	"CST005"	"hsa-miR-197"	"28.157"
"423"	"CST005"	"hsa-miR-199a-3p"	"30.949"
"424"	"CST005"	"hsa-miR-19a"	"29.172"
"425"	"CST005"	"hsa-miR-19b"	"25.032"
"426"	"CST005"	"hsa-miR-200b"	"32.873"
"427"	"CST005"	"hsa-miR-200c"	NA
"428"	"CST005"	"hsa-miR-202"	"31.238"
"429"	"CST005"	"hsa-miR-203"	"30.274"
"430"	"CST005"	"hsa-miR-204"	"22.844"
"431"	"CST005"	"hsa-miR-20a"	"27.028"
"432"	"CST005"	"hsa-miR-20b"	"32.077"
"433"	"CST005"	"hsa-miR-21"	"24.903"
"434"	"CST005"	"hsa-miR-211"	"22.299"
"435"	"CST005"	"hsa-miR-212"	"28.629"
"436"	"CST005"	"hsa-miR-214"	"29.684"
"437"	"CST005"	"hsa-miR-218"	"30.676"
"438"	"CST005"	"hsa-miR-222"	"26.701"
"439"	"CST005"	"hsa-miR-223"	"29.063"
"440"	"CST005"	"hsa-miR-23b"	"31.699"
"441"	"CST005"	"hsa-miR-24"	"23.597"
"442"	"CST005"	"hsa-miR-25"	"25.497"
"443"	"CST005"	"hsa-miR-26a"	"30.46"
"444"	"CST005"	"hsa-miR-27a"	"31.284"
"445"	"CST005"	"hsa-miR-27b"	"26.5"
"446"	"CST005"	"hsa-miR-28-3p"	"29.305"
"447"	"CST005"	"hsa-miR-296"	"23.483"
"448"	"CST005"	"hsa-miR-29a"	"26.613"
"449"	"CST005"	"hsa-miR-29c"	"27.975"
"450"	"CST005"	"hsa-miR-302a"	"18.662"
"451"	"CST005"	"hsa-miR-302b"	"20.005"
"452"	"CST005"	"hsa-miR-302c"	"23.144"
"453"	"CST005"	"hsa-miR-30b"	"26.896"
"454"	"CST005"	"hsa-miR-30c"	"26.594"
"455"	"CST005"	"hsa-miR-320"	"25.443"
"456"	"CST005"	"hsa-miR-328"	"26.136"
"457"	"CST005"	"hsa-miR-331"	"29.315"
"458"	"CST005"	"hsa-miR-335"	"30.363"
"459"	"CST005"	"hsa-miR-340"	"35.299"
"460"	"CST005"	"hsa-miR-342-3p"	"30.925"
"461"	"CST005"	"hsa-miR-345"	"29.988"
"462"	"CST005"	"hsa-miR-34a"	"15.19"
"463"	"CST005"	"hsa-miR-363"	"28.392"
"464"	"CST005"	"hsa-miR-365"	"33.221"
"465"	"CST005"	"hsa-miR-367"	"17.922"
"466"	"CST005"	"hsa-miR-372"	"26.467"
"467"	"CST005"	"hsa-miR-373"	"28.214"
"468"	"CST005"	"hsa-miR-374"	"18.839"
"469"	"CST005"	"hsa-miR-375"	"29.727"
"470"	"CST005"	"hsa-miR-376a"	"30.322"
"471"	"CST005"	"hsa-miR-381"	"27.537"
"472"	"CST005"	"hsa-miR-383"	"26.244"
"473"	"CST005"	"hsa-miR-410"	"20.885"
"474"	"CST005"	"hsa-miR-411"	"29.424"
"475"	"CST005"	"hsa-miR-422a"	"31.105"
"476"	"CST005"	"hsa-miR-429"	NA
"477"	"CST005"	"hsa-miR-454"	"17.45"
"478"	"CST005"	"hsa-miR-483-5p"	"15.049"
"479"	"CST005"	"hsa-miR-484"	"27.833"
"480"	"CST005"	"hsa-miR-486"	"18.521"
"481"	"CST005"	"hsa-miR-509-5p"	"25.695"
"482"	"CST005"	"hsa-miR-512-3p"	NA
"483"	"CST005"	"hsa-miR-518d"	"30.367"
"484"	"CST005"	"hsa-miR-518f"	"15.653"
"485"	"CST005"	"hsa-miR-520b"	"29.748"
"486"	"CST005"	"hsa-miR-520d-5p"	"34.364"
"487"	"CST005"	"hsa-miR-520e"	"21.769"
"488"	"CST005"	"hsa-miR-520f"	"27.969"
"489"	"CST005"	"hsa-miR-523"	"17.679"
"490"	"CST005"	"hsa-miR-532"	"32.446"
